Zone,Produit,Origine,Aliments pour animaux,Autres Utilisations,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Semences,Traitement,Variation de stock,Categorie
Maldives,Girofles,Vegetale,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epices
Maldives,Graines colza et moutarde,Vegetale,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Maldives,Graines de tournesol,Vegetale,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Maldives,Graisses animales crue,Animale,0.0,0.0,1.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Haricots,Vegetale,0.0,0.0,1.0,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Légumineuses
Maldives,Huile de plantes oléifères et autres,Vegetale,0.0,6000000.0,17.0,0.72,1.93,0.01,6000000.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile d'arachide,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile d'olive,Vegetale,0.0,0.0,19.0,0.77,2.11,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile de coco,Vegetale,0.0,0.0,2.0,0.08,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile de colza et moutarde,Vegetale,0.0,0.0,1.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile de germe de maïs,Vegetale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile de palme,Vegetale,0.0,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile de soja,Vegetale,0.0,0.0,16.0,0.66,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile de sésame,Vegetale,0.0,0.0,1.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huile de tournesol,Vegetale,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Huiles de foie de poisson,Animale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huiles et graisses
Maldives,Ignames,Vegetale,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Racines et tubercules
Maldives,Lait (exclut beurre),Animale,0.0,3000000.0,203.0,111.47,7.94,9.86,42000000.0,0.0,42000000.0,38000000.0,0.0,0.0,0.0,0.0,0.0,Lait et fromage
Maldives,Légumes et autres,Vegetale,0.0,0.0,48.0,52.67,0.31,2.14,18000000.0,0.0,16000000.0,18000000.0,0.0,3000000.0,0.0,0.0,0.0,Légumes
Maldives,Légumineuses et autres,Vegetale,0.0,0.0,32.0,3.38,0.19,1.95,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,Légumineuses
Maldives,Manioc,Vegetale,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Racines et tubercules
Maldives,Maïs,Vegetale,0.0,0.0,7.0,0.83,0.05,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Miel,Vegetale,0.0,0.0,3.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sucres et édulcorants
Maldives,Millet,Vegetale,0.0,0.0,6.0,0.71,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Miscellanees,Vegetale,0.0,0.0,16.0,0.0,0.2,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Produits divers
Maldives,Mollusques et autres,Animale,0.0,0.0,1.0,1.2,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Noix,Vegetale,0.0,0.0,91.0,15.69,6.31,2.38,6000000.0,0.0,3000000.0,5000000.0,0.0,2000000.0,0.0,0.0,0.0,Fruit à coques
Maldives,Oeufs,Animale,0.0,2000000.0,41.0,10.79,2.9,3.16,6000000.0,0.0,6000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,Oeufs
Maldives,Oignons,Vegetale,0.0,0.0,18.0,21.26,0.12,0.64,8000000.0,0.0,8000000.0,7000000.0,0.0,0.0,0.0,0.0,0.0,Légumes
