Autres non-céréales,Blé et farines,Bulgur,Céréales,Céréales secondaires,Fruits secs,Graisses comestibles,Huiles végétales,Lait,Légumineuses sèches,Mélanges et préparations,Non-céréales,Poissons et produits de la mer,Riz,Sucre,Viande
0,30000000,0,35455000,2760000,0,0,368000,0,2480000,1925000,2848000,0,770000,0,0
0,24000000,0,25311000,0,54000,0,185000,0,600000,1311000,839000,0,0,0,0
0,0,0,280000,0,0,0,36000,0,129000,0,165000,0,280000,0,0
0,0,0,428000,0,0,0,0,0,40000,0,40000,0,428000,0,0
0,0,1188000,8031000,0,0,0,670000,0,240000,1018000,910000,0,5825000,0,0
0,0,1738000,2858000,0,0,0,410000,0,310000,1120000,720000,0,0,0,0
0,0,0,268000,0,0,0,0,0,184000,268000,184000,0,0,0,0
1600000,556000,0,56643000,43100000,221000,0,3959000,0,7477000,9837000,13257000,0,3150000,0,0
1237000,0,0,32131000,24370000,0,0,2279000,651000,4292000,7761000,8459000,0,0,0,0
596000,560000,0,30626000,25470000,54000,0,1690000,0,2883000,4596000,5223000,0,0,0,0
0,0,0,140255000,130677000,0,0,6251000,900000,17663000,9578000,24860000,0,0,46000,0
250000,1672000,0,145696000,133830000,0,0,3960000,825000,10221000,10194000,15256000,0,0,0,0
255000,2183000,0,5988000,0,0,0,110000,0,2472000,3805000,2837000,0,0,0,0
372000,0,0,83113000,83113000,0,0,4936000,0,9593000,0,15052000,0,0,151000,0
3550000,0,0,213730000,213730000,0,0,3731000,0,3961000,0,11575000,0,0,333000,0
428000,0,0,13851000,9000000,0,0,3844000,0,6031000,301000,10303000,0,4550000,0,0
0,0,0,2116000,0,238000,0,385000,0,974000,1007000,1710000,112000,1109000,1000,0
0,0,0,1392000,0,0,0,569000,0,963000,221000,2131000,595000,1171000,4000,0
0,0,0,898000,0,54000,0,328000,0,482000,346000,864000,0,552000,0,0
0,0,0,0,0,0,0,164000,0,0,0,164000,0,0,0,0
0,0,0,3854000,372000,0,0,478000,0,2077000,476000,2555000,0,3006000,0,0
0,0,0,775000,0,0,0,54000,0,526000,0,580000,0,775000,0,0
332000,0,630000,4260000,0,0,0,1101000,0,9901000,2755000,11671000,337000,875000,0,0
47000,0,0,7346000,0,0,0,427000,0,9180000,1644000,9654000,0,5702000,0,0
117000,0,0,1814000,0,0,0,10019000,0,0,184000,10136000,0,1630000,0,0
32000,22000,0,78000,0,0,0,200000,25000,38000,49000,295000,0,7000,0,0
58000,23000,0,146000,40000,0,0,238000,147000,0,57000,495000,0,26000,0,52000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705000,0,3127000,36551000,25997000,0,0,2568000,0,5842000,6652000,10414000,0,775000,299000,0
773000,0,0,42874000,40844000,0,0,1915000,0,3141000,2030000,6089000,0,0,260000,0
0,0,0,30028000,24870000,90000,0,2210000,0,4511000,5158000,6811000,0,0,0,0
0,0,0,0,0,0,0,1216000,0,0,0,1216000,0,0,0,0
0,0,0,22000,0,0,0,36000,0,0,22000,36000,0,0,0,0
2000,10712000,0,12400000,0,0,0,0,0,0,0,2000,0,1688000,0,0
0,23000,0,331000,0,0,0,0,0,0,0,70000,70000,308000,0,0
1291000,116637000,0,117155000,0,0,0,4572000,0,9203000,68000,15227000,0,450000,161000,0
211000,22680000,0,26949000,0,0,0,8203000,0,16476000,3169000,24971000,0,1100000,81000,0
1198000,117854000,0,151251000,0,0,0,8131000,0,17724000,31600000,34902000,232000,1797000,7617000,0
5238000,179332000,0,196027000,0,247000,0,9880000,0,18648000,16695000,36760000,72000,0,2675000,0
0,0,0,0,0,0,0,164000,0,0,0,164000,0,0,0,0
0,0,0,1349000,1349000,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,5604000,5330000,0,0,871000,0,4150000,210000,5022000,0,64000,0,0
0,0,0,10990000,5866000,0,0,1514000,0,796000,5124000,2310000,0,0,0,0
0,0,0,7053000,6957000,0,0,306000,0,0,96000,306000,0,0,0,0
0,0,0,0,0,561000,0,0,0,0,0,561000,0,0,0,0
0,0,0,345000,0,0,0,103000,0,233000,0,336000,0,345000,0,0
170000,181066000,2939000,256196000,45040000,459000,0,9604000,0,27916000,21470000,39506000,0,5681000,1357000,0
466000,178646000,2490000,265013000,70890000,0,0,7088000,0,20232000,12752000,28299000,0,235000,513000,0
244000,74090000,0,86482000,7880000,162000,0,1826000,0,10519000,4512000,15151000,0,0,2400000,0
